score,name
72,hsa-miR-466
72,hsa-miR-181d-5p
72,hsa-miR-6755-3p
72,hsa-miR-597-3p
72,hsa-miR-1257
72,hsa-miR-494-5p
72,hsa-miR-2053
72,hsa-miR-3618
72,hsa-miR-181a-2-3p
72,hsa-miR-3664-5p
72,hsa-miR-3662
72,hsa-miR-6165
72,hsa-miR-12119
72,hsa-miR-4263
71,hsa-miR-6502-3p
71,hsa-miR-549a-3p
71,hsa-miR-432-5p
71,hsa-miR-587
71,hsa-miR-4652-3p
71,hsa-miR-597-5p
71,hsa-miR-6766-3p
71,hsa-miR-4782-3p
71,hsa-miR-219a-5p
71,hsa-miR-203a-3p
71,hsa-miR-1179
71,hsa-miR-1264
71,hsa-miR-3934-5p
71,hsa-miR-616-3p
71,hsa-miR-302a-5p
70,hsa-miR-498-3p
70,hsa-miR-627-3p
70,hsa-miR-511-5p
70,hsa-miR-583
70,hsa-miR-324-3p
70,hsa-miR-181c-5p
70,hsa-miR-181b-5p
70,hsa-miR-181a-5p
70,hsa-miR-20b-3p
70,hsa-miR-649
70,hsa-miR-3148
70,hsa-miR-590-3p
70,hsa-miR-10527-5p
70,hsa-miR-1238-5p
70,hsa-miR-3130-3p
70,hsa-miR-410-5p
70,hsa-miR-323b-5p
70,hsa-miR-6811-3p
70,hsa-miR-5571-5p
70,hsa-miR-1244
70,hsa-miR-4495
69,hsa-miR-4660
69,hsa-miR-3911
69,hsa-miR-520h
69,hsa-miR-520g-3p
69,hsa-miR-3617-3p
69,hsa-miR-8073
69,hsa-miR-221-5p
69,hsa-miR-195-3p
69,hsa-miR-16-2-3p
69,hsa-miR-3908
69,hsa-miR-4328
69,hsa-miR-942-5p
69,hsa-miR-4295
69,hsa-miR-3666
69,hsa-miR-301b-3p
69,hsa-miR-301a-3p
69,hsa-miR-130b-3p
69,hsa-miR-130a-3p
69,hsa-miR-4502
69,hsa-miR-3129-5p
69,hsa-miR-199b-3p
69,hsa-miR-199a-3p
69,hsa-miR-548an
69,hsa-miR-499a-5p
69,hsa-miR-7110-3p
68,hsa-miR-561-5p
68,hsa-miR-4703-3p
68,hsa-miR-1178-5p
68,hsa-miR-3152-3p
68,hsa-miR-1181
68,hsa-miR-4803
68,hsa-miR-2276-3p
68,hsa-miR-3611
68,hsa-miR-6817-5p
68,hsa-miR-4769-3p
68,hsa-miR-198
68,hsa-miR-16-1-3p
68,hsa-miR-4690-5p
68,hsa-miR-643
68,hsa-miR-924
68,hsa-miR-4255
68,hsa-miR-26b-5p
68,hsa-miR-26a-5p
68,hsa-miR-4469
68,hsa-miR-12114
68,hsa-miR-4738-3p
68,hsa-miR-29b-2-5p
68,hsa-miR-2355-3p
68,hsa-miR-4698
68,hsa-miR-33b-5p
68,hsa-miR-33a-5p
68,hsa-miR-192-3p
68,hsa-miR-767-5p
67,hsa-miR-2113
67,hsa-miR-498-5p
67,hsa-miR-664a-3p
67,hsa-miR-4468
67,hsa-miR-4743-3p
67,hsa-miR-454-3p
67,hsa-miR-9985
67,hsa-miR-27b-3p
67,hsa-miR-27a-3p
67,hsa-miR-567
67,hsa-miR-6739-3p
67,hsa-miR-122-5p
67,hsa-miR-7854-3p
67,hsa-miR-6797-3p
67,hsa-miR-136-5p
67,hsa-miR-181c-3p
67,hsa-miR-452-3p
67,hsa-miR-10395-5p
67,hsa-miR-4291
67,hsa-miR-6733-3p
67,hsa-miR-507
67,hsa-miR-4445-5p
66,hsa-miR-126-5p
66,hsa-miR-4666b
66,hsa-miR-552-3p
66,hsa-miR-6832-5p
66,hsa-miR-203a-5p
66,hsa-miR-6792-3p
66,hsa-miR-10522-5p
66,hsa-miR-6802-5p
66,hsa-miR-548b-3p
66,hsa-miR-5585-3p
66,hsa-miR-4691-5p
66,hsa-miR-4729
66,hsa-miR-4465
66,hsa-miR-548ar-3p
66,hsa-miR-573
66,hsa-miR-338-3p
66,hsa-miR-208a-5p
66,hsa-miR-4264
66,hsa-miR-1277-5p
66,hsa-miR-6837-3p
66,hsa-miR-5197-3p
65,hsa-miR-208b-5p
65,hsa-miR-511-3p
65,hsa-miR-103a-1-5p
65,hsa-miR-7161-5p
65,hsa-miR-500a-5p
65,hsa-miR-142-3p
65,hsa-miR-548az-3p
65,hsa-miR-4682
65,hsa-miR-6529-5p
65,hsa-miR-1227-3p
